Confirmed,country,Deaths,date,Province/State,Recovered
0.0,Hong Kong,0.0,2020-01-22,,0.0
1.0,Macau,0.0,2020-01-22,,0.0
1.0,Taiwan,0.0,2020-01-22,,0.0
1.0,US,0.0,2020-01-22,,0.0
2.0,Japan,0.0,2020-01-22,,0.0
2.0,Thailand,0.0,2020-01-22,,0.0
1.0,South Korea,0.0,2020-01-22,,0.0
2.0,Hong Kong,0.0,2020-01-23,,0.0
2.0,Macau,0.0,2020-01-23,,0.0
1.0,Taiwan,0.0,2020-01-23,,0.0
1.0,US,0.0,2020-01-23,,0.0
1.0,Japan,0.0,2020-01-23,,0.0
3.0,Thailand,0.0,2020-01-23,,0.0
1.0,South Korea,0.0,2020-01-23,,0.0
1.0,Singapore,0.0,2020-01-23,,0.0
0.0,Philippines,0.0,2020-01-23,,0.0
0.0,Malaysia,0.0,2020-01-23,,0.0
2.0,Vietnam,0.0,2020-01-23,,0.0
0.0,Australia,0.0,2020-01-23,,0.0
0.0,Mexico,0.0,2020-01-23,,0.0
0.0,Brazil,0.0,2020-01-23,,0.0
0.0,Colombia,0.0,2020-01-23,,0.0
3.0,Taiwan,0.0,2020-01-24,,0.0
2.0,Hong Kong,0.0,2020-01-24,,0.0
2.0,Macau,0.0,2020-01-24,,0.0
2.0,Japan,0.0,2020-01-24,,0.0
5.0,Thailand,0.0,2020-01-24,,0.0
2.0,South Korea,0.0,2020-01-24,,0.0
3.0,Singapore,0.0,2020-01-24,,0.0
2.0,Vietnam,0.0,2020-01-24,,0.0
2.0,France,0.0,2020-01-24,,0.0
5.0,Hong Kong,0.0,2020-01-25,,0.0
3.0,Taiwan,0.0,2020-01-25,,0.0
2.0,Macau,0.0,2020-01-25,,0.0
2.0,Japan,0.0,2020-01-25,,0.0
7.0,Thailand,0.0,2020-01-25,,0.0
2.0,South Korea,0.0,2020-01-25,,0.0
3.0,Singapore,0.0,2020-01-25,,0.0
2.0,Vietnam,0.0,2020-01-25,,0.0
3.0,France,0.0,2020-01-25,,0.0
4.0,Australia,0.0,2020-01-25,,0.0
1.0,Nepal,0.0,2020-01-25,,0.0
3.0,Malaysia,0.0,2020-01-25,,0.0
8.0,Hong Kong,0.0,2020-01-26,,0.0
5.0,Macau,0.0,2020-01-26,,0.0
4.0,Taiwan,0.0,2020-01-26,,0.0
4.0,Japan,0.0,2020-01-26,,1.0
8.0,Thailand,0.0,2020-01-26,,2.0
3.0,South Korea,0.0,2020-01-26,,0.0
4.0,Singapore,0.0,2020-01-26,,0.0
2.0,Vietnam,0.0,2020-01-26,,0.0
3.0,France,0.0,2020-01-26,,0.0
4.0,Australia,0.0,2020-01-26,,0.0
1.0,Nepal,0.0,2020-01-26,,0.0
4.0,Malaysia,0.0,2020-01-26,,0.0
1.0,Canada,0.0,2020-01-26,,0.0
8.0,Hong Kong,0.0,2020-01-27,,0.0
6.0,Macau,0.0,2020-01-27,,0.0
5.0,Taiwan,0.0,2020-01-27,,0.0
4.0,Japan,0.0,2020-01-27,,1.0
8.0,Thailand,0.0,2020-01-27,,2.0
4.0,South Korea,0.0,2020-01-27,,0.0
5.0,Singapore,0.0,2020-01-27,,0.0
2.0,Vietnam,0.0,2020-01-27,,0.0
3.0,France,0.0,2020-01-27,,0.0
1.0,Nepal,0.0,2020-01-27,,0.0
4.0,Malaysia,0.0,2020-01-27,,0.0
1.0,Canada,0.0,2020-01-27,,0.0
1.0,Cambodia,0.0,2020-01-27,,0.0
1.0,Sri Lanka,0.0,2020-01-27,,0.0
1.0,Ivory Coast,0.0,2020-01-27,,0.0
8.0,Taiwan,0.0,2020-01-28,,0.0
8.0,Hong Kong,0.0,2020-01-28,,0.0
7.0,Macau,0.0,2020-01-28,,0.0
7.0,Japan,0.0,2020-01-28,,1.0
14.0,Thailand,0.0,2020-01-28,,5.0
4.0,South Korea,0.0,2020-01-28,,0.0
7.0,Singapore,0.0,2020-01-28,,0.0
2.0,Vietnam,0.0,2020-01-28,,0.0
4.0,France,0.0,2020-01-28,,0.0
1.0,Nepal,0.0,2020-01-28,,0.0
4.0,Malaysia,0.0,2020-01-28,,0.0
1.0,Cambodia,0.0,2020-01-28,,0.0
1.0,Sri Lanka,0.0,2020-01-28,,0.0
4.0,Germany,0.0,2020-01-28,,0.0
10.0,Hong Kong,0.0,2020-01-29,,0.0
8.0,Taiwan,0.0,2020-01-29,,0.0
7.0,Macau,0.0,2020-01-29,,0.0
7.0,Japan,0.0,2020-01-29,,1.0
14.0,Thailand,0.0,2020-01-29,,5.0
4.0,South Korea,0.0,2020-01-29,,0.0
7.0,Singapore,0.0,2020-01-29,,0.0
2.0,Vietnam,0.0,2020-01-29,,0.0
5.0,France,0.0,2020-01-29,,0.0
1.0,Nepal,0.0,2020-01-29,,0.0
7.0,Malaysia,0.0,2020-01-29,,0.0
1.0,Cambodia,0.0,2020-01-29,,0.0
1.0,Sri Lanka,0.0,2020-01-29,,0.0
4.0,Germany,0.0,2020-01-29,,0.0
1.0,Finland,0.0,2020-01-29,,0.0
4.0,United Arab Emirates,0.0,2020-01-29,,0.0
10.0,Hong Kong,0.0,2020-01-30,,0.0
9.0,Taiwan,0.0,2020-01-30,,0.0
7.0,Macau,0.0,2020-01-30,,0.0
11.0,Japan,0.0,2020-01-30,,1.0
14.0,Thailand,0.0,2020-01-30,,5.0
4.0,South Korea,0.0,2020-01-30,,0.0
10.0,Singapore,0.0,2020-01-30,,0.0
2.0,Vietnam,0.0,2020-01-30,,0.0
5.0,France,0.0,2020-01-30,,0.0
1.0,Nepal,0.0,2020-01-30,,0.0
8.0,Malaysia,0.0,2020-01-30,,0.0
1.0,Cambodia,0.0,2020-01-30,,0.0
1.0,Sri Lanka,0.0,2020-01-30,,0.0
4.0,Germany,0.0,2020-01-30,,0.0
1.0,Finland,0.0,2020-01-30,,0.0
4.0,United Arab Emirates,0.0,2020-01-30,,0.0
1.0,Philippines,0.0,2020-01-30,,0.0
1.0,India,0.0,2020-01-30,,0.0
12.0,Hong Kong,0.0,2020-01-31,,0.0
15.0,Japan,0.0,2020-01-31,,1.0
13.0,Singapore,0.0,2020-01-31,,0.0
