,country,alpha-2,date,cumsum_cases,cumsum_deaths,alpha-3,population,cases_by_million
4464,San_Marino,SM,2020-01-22,0,0,SMR,33785.0,0.0
3783,North_Macedonia,MK,2020-01-22,0,0,MKD,2082958.0,0.0
4303,Romania,RO,2020-01-22,0,0,ROU,19473936.0,0.0
4377,Russia,RU,2020-01-22,0,0,RUS,144478050.0,0.0
3412,Monaco,MC,2020-01-22,0,0,MCO,38682.0,0.0
376,Austria,AT,2020-01-22,0,0,AUT,8847037.0,0.0
2592,Ireland,IE,2020-01-22,0,0,IRL,4853506.0,0.0
3862,Norway,NO,2020-01-22,0,0,NOR,5314336.0,0.0
4773,Spain,ES,2020-01-22,0,0,ESP,46723749.0,0.0
1394,Denmark,DK,2020-01-22,0,0,DNK,5797446.0,0.0
1219,Croatia,HR,2020-01-22,0,0,HRV,4089400.0,0.0
683,Belgium,BE,2020-01-22,0,0,BEL,11422068.0,0.0
3575,Netherlands,NL,2020-01-22,0,0,NLD,17231017.0,0.0
2014,Germany,DE,2020-01-22,0,0,DEU,82927922.0,0.0
2747,Italy,IT,2020-01-22,0,0,ITA,60431283.0,0.0
604,Belarus,BY,2020-01-22,0,0,BLR,9485386.0,0.0
1853,France,FR,2020-01-22,0,0,FRA,66987244.0,0.0
5007,Switzerland,CH,2020-01-22,0,0,CHE,8516543.0,0.0
1774,Finland,FI,2020-01-22,0,0,FIN,5518050.0,0.0
1309,Czech_Republic,CZ,2020-01-22,0,0,CZE,10625695.0,0.0
4928,Sweden,SE,2020-01-22,0,0,SWE,10183175.0,0.0
1691,Estonia,EE,2020-01-22,0,0,EST,1320884.0,0.0
2209,Iceland,IS,2020-01-22,0,0,ISL,353574.0,0.0
3165,Luxembourg,LU,2020-01-22,0,0,LUX,607728.0,0.0
5339,United_Kingdom,GB,2020-01-22,0,0,GBR,66488991.0,0.0
3093,Lithuania,LT,2020-01-22,0,0,LTU,2789533.0,0.0
3574,Netherlands,NL,2020-01-23,0,0,NLD,17231017.0,0.0
2208,Iceland,IS,2020-01-23,0,0,ISL,353574.0,0.0
1773,Finland,FI,2020-01-23,0,0,FIN,5518050.0,0.0
1852,France,FR,2020-01-23,0,0,FRA,66987244.0,0.0
1690,Estonia,EE,2020-01-23,0,0,EST,1320884.0,0.0
3782,North_Macedonia,MK,2020-01-23,0,0,MKD,2082958.0,0.0
3411,Monaco,MC,2020-01-23,0,0,MCO,38682.0,0.0
4927,Sweden,SE,2020-01-23,0,0,SWE,10183175.0,0.0
4772,Spain,ES,2020-01-23,0,0,ESP,46723749.0,0.0
2013,Germany,DE,2020-01-23,0,0,DEU,82927922.0,0.0
682,Belgium,BE,2020-01-23,0,0,BEL,11422068.0,0.0
4463,San_Marino,SM,2020-01-23,0,0,SMR,33785.0,0.0
4376,Russia,RU,2020-01-23,0,0,RUS,144478050.0,0.0
5338,United_Kingdom,GB,2020-01-23,0,0,GBR,66488991.0,0.0
2591,Ireland,IE,2020-01-23,0,0,IRL,4853506.0,0.0
603,Belarus,BY,2020-01-23,0,0,BLR,9485386.0,0.0
375,Austria,AT,2020-01-23,0,0,AUT,8847037.0,0.0
1218,Croatia,HR,2020-01-23,0,0,HRV,4089400.0,0.0
4302,Romania,RO,2020-01-23,0,0,ROU,19473936.0,0.0
3861,Norway,NO,2020-01-23,0,0,NOR,5314336.0,0.0
2746,Italy,IT,2020-01-23,0,0,ITA,60431283.0,0.0
3164,Luxembourg,LU,2020-01-23,0,0,LUX,607728.0,0.0
1393,Denmark,DK,2020-01-23,0,0,DNK,5797446.0,0.0
3092,Lithuania,LT,2020-01-23,0,0,LTU,2789533.0,0.0
1308,Czech_Republic,CZ,2020-01-23,0,0,CZE,10625695.0,0.0
5006,Switzerland,CH,2020-01-23,0,0,CHE,8516543.0,0.0
681,Belgium,BE,2020-01-24,0,0,BEL,11422068.0,0.0
3091,Lithuania,LT,2020-01-24,0,0,LTU,2789533.0,0.0
5337,United_Kingdom,GB,2020-01-24,0,0,GBR,66488991.0,0.0
2745,Italy,IT,2020-01-24,0,0,ITA,60431283.0,0.0
4771,Spain,ES,2020-01-24,0,0,ESP,46723749.0,0.0
2012,Germany,DE,2020-01-24,0,0,DEU,82927922.0,0.0
3573,Netherlands,NL,2020-01-24,0,0,NLD,17231017.0,0.0
2207,Iceland,IS,2020-01-24,0,0,ISL,353574.0,0.0
3163,Luxembourg,LU,2020-01-24,0,0,LUX,607728.0,0.0
1392,Denmark,DK,2020-01-24,0,0,DNK,5797446.0,0.0
3860,Norway,NO,2020-01-24,0,0,NOR,5314336.0,0.0
1689,Estonia,EE,2020-01-24,0,0,EST,1320884.0,0.0
2590,Ireland,IE,2020-01-24,0,0,IRL,4853506.0,0.0
602,Belarus,BY,2020-01-24,0,0,BLR,9485386.0,0.0
374,Austria,AT,2020-01-24,0,0,AUT,8847037.0,0.0
3410,Monaco,MC,2020-01-24,0,0,MCO,38682.0,0.0
4462,San_Marino,SM,2020-01-24,0,0,SMR,33785.0,0.0
1772,Finland,FI,2020-01-24,0,0,FIN,5518050.0,0.0
3781,North_Macedonia,MK,2020-01-24,0,0,MKD,2082958.0,0.0
5005,Switzerland,CH,2020-01-24,0,0,CHE,8516543.0,0.0
4375,Russia,RU,2020-01-24,0,0,RUS,144478050.0,0.0
1307,Czech_Republic,CZ,2020-01-24,0,0,CZE,10625695.0,0.0
1851,France,FR,2020-01-24,0,0,FRA,66987244.0,0.0
4301,Romania,RO,2020-01-24,0,0,ROU,19473936.0,0.0
4926,Sweden,SE,2020-01-24,0,0,SWE,10183175.0,0.0
1217,Croatia,HR,2020-01-24,0,0,HRV,4089400.0,0.0
601,Belarus,BY,2020-01-25,0,0,BLR,9485386.0,0.0
5336,United_Kingdom,GB,2020-01-25,0,0,GBR,66488991.0,0.0
5004,Switzerland,CH,2020-01-25,0,0,CHE,8516543.0,0.0
1306,Czech_Republic,CZ,2020-01-25,0,0,CZE,10625695.0,0.0
4770,Spain,ES,2020-01-25,0,0,ESP,46723749.0,0.0
2011,Germany,DE,2020-01-25,0,0,DEU,82927922.0,0.0
3572,Netherlands,NL,2020-01-25,0,0,NLD,17231017.0,0.0
4925,Sweden,SE,2020-01-25,0,0,SWE,10183175.0,0.0
1391,Denmark,DK,2020-01-25,0,0,DNK,5797446.0,0.0
2744,Italy,IT,2020-01-25,0,0,ITA,60431283.0,0.0
1771,Finland,FI,2020-01-25,0,0,FIN,5518050.0,0.0
680,Belgium,BE,2020-01-25,0,0,BEL,11422068.0,0.0
1850,France,FR,2020-01-25,3,0,FRA,66987244.0,0.044784645864815696
4300,Romania,RO,2020-01-25,0,0,ROU,19473936.0,0.0
4461,San_Marino,SM,2020-01-25,0,0,SMR,33785.0,0.0
373,Austria,AT,2020-01-25,0,0,AUT,8847037.0,0.0
2206,Iceland,IS,2020-01-25,0,0,ISL,353574.0,0.0
3409,Monaco,MC,2020-01-25,0,0,MCO,38682.0,0.0
1216,Croatia,HR,2020-01-25,0,0,HRV,4089400.0,0.0
3780,North_Macedonia,MK,2020-01-25,0,0,MKD,2082958.0,0.0
